BGMA,05-Jun-2020,2762,2804,2762,2802,0
BGMC,05-Jun-2020,101.06,101.06,100.99,101,0
BGMD,05-Jun-2020,1065,1117,1065,1117,0
BGME,05-Jun-2020,263,294,263,292,0
BGMF,05-Jun-2020,199,219,199,219,0
BGMG,05-Jun-2020,16,18,16,18,0
BGMM,05-Jun-2020,101.78,101.78,101.73,101.73,0
BGMU,05-Jun-2020,59,66,59,66,0
BKX,05-Jun-2020,90.72,91.2,86.82,87.39,0
BWH,05-Jun-2020,193.9,195.36,190.09,190.85,0
BXD,05-Jun-2020,295.13,295.58,294.74,295.16,0
BXM,05-Jun-2020,1293.71,1294.91,1292.99,1294.81,0
BXN,05-Jun-2020,641.85,643.05,641.44,643.05,0
CASH,05-Jun-2020,1,1,1,1,0
CEX,05-Jun-2020,637.17,640.68,632.64,634.64,0
COMP,05-Jun-2020,9703.36,9845.69,9685.35,9814.08,0
CPR,05-Jun-2020,2.486,2.5715,2.481,2.5555,56679
CYM,05-Jun-2020,17.65,18.67,17.65,18.36,0
DCFD,05-Jun-2020,89.06,95.31,87.5,89.06,0
DCFI,05-Jun-2020,96.87,96.87,95.31,95.31,0
DCOF,05-Jun-2020,79.68,82.81,73.43,73.43,0
DCOH,05-Jun-2020,54.68,60.93,51.56,51.56,0
DCSE,05-Jun-2020,39224.2,39940.89,39129.5,39460.35,0
DCTH,05-Jun-2020,48.43,48.43,40.62,40.62,0
DCTW,05-Jun-2020,95.31,96.87,93.75,93.75,0
DDA,05-Jun-2020,26.5,34.63,25.64,27.48,0
DDB,05-Jun-2020,23.35,26.19,22.44,25.59,0
DECA,05-Jun-2020,72,82,67,68,90737000
DECC,05-Jun-2020,65,161,65,150,68396700
DECE,05-Jun-2020,249,333,249,333,757512200
DECN,05-Jun-2020,119,234,115,207,789882100
DECQ,05-Jun-2020,377,695,343,656,1281494000
DECS,05-Jun-2020,287,400,287,399,151107500
DECT,05-Jun-2020,568,1000,531,931,2162113000
DECU,05-Jun-2020,627,1781,627,1737,2654320000
DECV,05-Jun-2020,227,447,227,420,96974900
DECX,05-Jun-2020,579,1007,579,969,316479100
DIFD,05-Jun-2020,90,96.66,90,93.33,0
DIFI,05-Jun-2020,96.66,96.66,93.33,93.33,0
DIOF,05-Jun-2020,86.66,93.33,86.66,86.66,0
DIOH,05-Jun-2020,63.33,73.33,56.66,60,0
DITH,05-Jun-2020,56.66,56.66,50,50,0
DITW,05-Jun-2020,90,93.33,90,90,0
DIVQ,05-Jun-2020,3206.9,3264.85,3205,3254.71,0
DJC,05-Jun-2020,8746.54,8911.47,8746.54,8797.87,1453317000
DJEC,05-Jun-2020,1450.19,1469.52,1446.24,1465.81,0
DJI,05-Jun-2020,26836.8,27338.3,26836.8,27110.98,544414700
DJT,05-Jun-2020,9927.86,10075.43,9840.4,9872.96,844513900
DJU,05-Jun-2020,820.62,841.16,819.36,826.52,64387900
DJWO,05-Jun-2020,403.76,413.99,403.41,412.38,0
DJX,05-Jun-2020,268.37,273.38,268.37,271.11,0
DLTC,05-Jun-2020,2455.82,2509.73,2451.95,2503.75,0
DOWE,05-Jun-2020,1496.07,1538.74,1496.07,1538.15,0
DRCI,05-Jun-2020,266.74,269.21,263.51,264.56,0
DREI,05-Jun-2020,372.34,375.52,368.64,370.1,0
DSAE,05-Jun-2020,1352.69,1398.95,1351.06,1361.42,147684100
DSAF,05-Jun-2020,863.98,884.95,863.98,877.84,9928700
DSAG,05-Jun-2020,195.55,196.86,192.04,192.86,41390600
DSAI,05-Jun-2020,681.93,696.28,681.93,694.77,18486300
DSAL,05-Jun-2020,40.72,43.73,39.49,40.9,20687500
DSAM,05-Jun-2020,2027.19,2084.52,2024.22,2074.67,73131000
