Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,9562.299805,9665.599609,9509.339844,9660.440430,9660.440430,90400
2019-10-28,9721.639648,9802.150391,9704.530273,9801.870117,9801.870117,129600
2019-10-29,9812.480469,9818.740234,9746.030273,9746.030273,9746.030273,136400
2019-10-30,9707.179688,9726.950195,9647.000000,9681.540039,9681.540039,110300
2019-10-31,9709.099609,9720.969727,9626.929688,9635.330078,9635.330078,101000
2019-11-01,9621.889648,9814.669922,9604.309570,9802.330078,9802.330078,97200
2019-11-04,9828.599609,9908.200195,9828.599609,9868.129883,9868.129883,107600
2019-11-05,9885.019531,9982.339844,9847.200195,9938.610352,9938.610352,111600
2019-11-06,9947.309570,9947.309570,9829.750000,9860.969727,9860.969727,104600
2019-11-07,9849.959961,9939.530273,9835.889648,9917.490234,9917.490234,97000
2019-11-08,9985.200195,10008.509766,9891.000000,9895.339844,9895.339844,107700
2019-11-11,9821.410156,9821.410156,9664.059570,9680.570313,9680.570313,99900
2019-11-12,9675.559570,9699.419922,9570.440430,9670.139648,9670.139648,89000
2019-11-13,9678.650391,9702.509766,9622.309570,9687.849609,9687.849609,100
2019-11-14,9689.929688,9768.669922,9677.759766,9746.559570,9746.559570,100
2019-11-15,9741.929688,9777.690430,9647.990234,9647.990234,9647.990234,100
2019-11-18,9635.809570,9725.780273,9624.950195,9715.269531,9715.269531,100
2019-11-19,9721.009766,9889.750000,9711.290039,9889.750000,9889.750000,100
2019-11-20,9885.900391,9908.629883,9796.950195,9809.049805,9809.049805,100
2019-11-21,9772.030273,9818.490234,9733.440430,9774.440430,9774.440430,100
2019-11-22,9794.320313,9875.709961,9573.469727,9626.900391,9626.900391,100
2019-11-25,9626.410156,9643.230469,9515.330078,9626.360352,9626.360352,100
2019-11-26,9662.410156,9698.599609,9609.730469,9677.230469,9677.230469,100
2019-11-27,9643.110352,9694.219727,9589.209961,9648.389648,9648.389648,100
2019-11-28,9650.269531,9679.959961,9594.370117,9622.139648,9622.139648,100
2019-11-29,9614.709961,9633.139648,9490.849609,9582.160156,9582.160156,100
2019-12-02,9603.019531,9647.950195,9582.320313,9605.190430,9605.190430,100
2019-12-03,9585.750000,9657.650391,9531.259766,9657.650391,9657.650391,100
2019-12-04,9687.950195,9687.950195,9687.950195,9687.950195,9687.950195,0
2019-12-05,9799.070313,9799.070313,9799.070313,9799.070313,9799.070313,0
2019-12-06,9804.040039,9878.620117,9791.559570,9878.620117,9878.620117,100
2019-12-09,9876.269531,9876.269531,9876.269531,9876.269531,9876.269531,0
2019-12-10,9915.870117,9915.870117,9915.870117,9915.870117,9915.870117,0
2019-12-11,9852.709961,9852.709961,9852.709961,9852.709961,9852.709961,0
2019-12-12,9836.230469,9836.230469,9836.230469,9836.230469,9836.230469,0
2019-12-13,9923.790039,10014.209961,9907.759766,10004.620117,10004.620117,144500
2019-12-16,10040.259766,10158.240234,10015.450195,10158.240234,10158.240234,172800
2019-12-17,10157.429688,10350.650391,10148.690430,10306.030273,10306.030273,209600
2019-12-18,10299.049805,10365.160156,10266.639648,10294.660156,10294.660156,172900
2019-12-19,10298.509766,10316.769531,10254.950195,10296.290039,10296.290039,143600
2019-12-20,10305.099609,10343.070313,10229.099609,10229.490234,10229.490234,147300
2019-12-23,10202.230469,10248.799805,10050.410156,10056.209961,10056.209961,137000
2019-12-24,10080.370117,10190.040039,10065.549805,10189.290039,10189.290039,112600
2019-12-25,10176.719727,10255.200195,10170.209961,10229.580078,10229.580078,122500
2019-12-26,10239.759766,10303.719727,10221.339844,10303.719727,10303.719727,125900
2019-12-27,10326.519531,10377.940430,10226.620117,10233.769531,10233.769531,164800
2019-12-30,10203.820313,10365.959961,10133.879883,10365.959961,10365.959961,152000
2019-12-31,10360.780273,10433.290039,10352.889648,10430.769531,10430.769531,128700
2020-01-02,10509.120117,10663.549805,10479.769531,10638.820313,10638.820313,183700
2020-01-03,10666.660156,10689.589844,10594.360352,10656.410156,10656.410156,159000
2020-01-06,10599.410156,10799.580078,10577.780273,10698.269531,10698.269531,187700
2020-01-07,10725.179688,10829.049805,10723.860352,10829.049805,10829.049805,171800
2020-01-08,10776.709961,10851.280273,10681.019531,10706.870117,10706.870117,202900
2020-01-09,10807.040039,10899.480469,10807.040039,10898.169922,10898.169922,170000
2020-01-10,10927.980469,10933.809570,10833.519531,10879.839844,10879.839844,145700
2020-01-13,10894.000000,11040.200195,10851.719727,11040.200195,11040.200195,151200
2020-01-14,11074.889648,11086.809570,10983.419922,10988.769531,10988.769531,164700
2020-01-15,10978.280273,11001.809570,10882.790039,10972.320313,10972.320313,139100
2020-01-16,10986.650391,11008.209961,10934.719727,10967.440430,10967.440430,140500
2020-01-17,11001.679688,11045.250000,10927.839844,10954.389648,10954.389648,132800
2020-01-20,10981.500000,11115.879883,10936.799805,11115.879883,11115.879883,151900
2020-01-21,11077.660156,11078.040039,10948.580078,10953.410156,10953.410156,100
2020-01-22,10896.549805,11105.690430,10761.679688,11072.059570,11072.059570,159200
2020-01-23,10947.860352,11026.000000,10572.269531,10681.900391,10681.900391,1860300
2020-02-03,9779.669922,9779.669922,9779.669922,9779.669922,9779.669922,0
2020-02-04,9578.870117,10095.690430,9578.870117,10089.669922,10089.669922,2393200
2020-02-05,10305.500000,10305.500000,10305.500000,10305.500000,10305.500000,0
2020-02-06,10306.120117,10633.169922,10214.809570,10601.339844,10601.339844,2280800
2020-02-07,10569.650391,10629.150391,10441.900391,10611.549805,10611.549805,2161300
2020-02-10,10728.459961,10728.459961,10728.459961,10728.459961,10728.459961,0
2020-02-11,10749.969727,10839.190430,10678.110352,10768.629883,10768.629883,1810500
2020-02-12,10940.799805,10940.799805,10940.799805,10940.799805,10940.799805,0
2020-02-13,10864.320313,10864.320313,10864.320313,10864.320313,10864.320313,0
2020-02-14,10854.459961,11017.650391,10822.129883,10916.309570,10916.309570,1870400
